MODEL,Accuracy,F1,Precision,Recall,K-Fold
GradientBoostingClassifier,0.8075,0.8135593220338984,0.7887323943661971,0.84,3
GradientBoostingClassifier,0.805,0.8129496402877698,0.7811059907834101,0.8475,5
GradientBoostingClassifier,0.81,0.819047619047619,0.7818181818181819,0.86,7
GradientBoostingClassifier,0.81,0.8177458033573142,0.7857142857142857,0.8525,10
XGBClassifier,0.79625,0.7939317319848294,0.80306905370844,0.785,3
XGBClassifier,0.79625,0.7949685534591195,0.8,0.79,5
XGBClassifier,0.80125,0.8019925280199253,0.7990074441687345,0.805,7
XGBClassifier,0.8025,0.7989821882951654,0.8134715025906736,0.785,10
DecisionTreeClassifier,0.75125,0.7611044417767107,0.7321016166281755,0.7925,3
DecisionTreeClassifier,0.75125,0.7587878787878788,0.7364705882352941,0.7825,5
DecisionTreeClassifier,0.77,0.773955773955774,0.7608695652173914,0.7875,7
DecisionTreeClassifier,0.7625,0.7665847665847666,0.7536231884057971,0.78,10
RandomForestClassifier,0.81875,0.825511432009627,0.7958236658932715,0.8575,3
RandomForestClassifier,0.8175,0.8253588516746412,0.7912844036697247,0.8625,5
RandomForestClassifier,0.81875,0.8267622461170848,0.7917620137299771,0.865,7
RandomForestClassifier,0.8225,0.8285024154589372,0.8014018691588785,0.8575,10
SVC,0.7875,0.7906403940886699,0.779126213592233,0.8025,3
SVC,0.79,0.7961165048543689,0.7735849056603774,0.82,5
SVC,0.7875,0.7946859903381642,0.7686915887850467,0.8225,7
SVC,0.7875,0.7941888619854721,0.7699530516431925,0.82,10
KNeighborsClassifier,0.79125,0.8042203985932005,0.7571743929359823,0.8575,3
KNeighborsClassifier,0.80625,0.819557625145518,0.7668845315904139,0.88,5
KNeighborsClassifier,0.8075,0.8200934579439252,0.7697368421052632,0.8775,7
KNeighborsClassifier,0.81375,0.8265424912689173,0.7734204793028322,0.8875,10
ElasticNet,0.53,0.45977011494252873,0.5405405405405406,0.4,3
ElasticNet,0.605,0.5212121212121212,0.6615384615384615,0.43,5
ElasticNet,0.6375,0.5857142857142857,0.6833333333333333,0.5125,7
ElasticNet,0.67125,0.6138032305433186,0.7437722419928826,0.5225,10
RidgeClassifier,0.745,0.734375,0.7663043478260869,0.705,3
RidgeClassifier,0.7425,0.7331606217616581,0.760752688172043,0.7075,5
RidgeClassifier,0.7425,0.7338501291989664,0.7593582887700535,0.71,7
RidgeClassifier,0.7425,0.7324675324675325,0.7621621621621621,0.705,10
Lasso,0.5625,0.33460076045627374,0.6984126984126984,0.22,3
Lasso,0.58625,0.34714003944773175,0.822429906542056,0.22,5
Lasso,0.58625,0.33400402414486924,0.8556701030927835,0.2075,7
Lasso,0.58875,0.32719836400818,0.898876404494382,0.2,10
LogisticRegression,0.74375,0.7341115434500648,0.7628032345013477,0.7075,3
LogisticRegression,0.74125,0.7315175097276264,0.7601078167115903,0.705,5
LogisticRegression,0.7425,0.7331606217616581,0.760752688172043,0.7075,7
LogisticRegression,0.7475,0.7410256410256411,0.7605263157894737,0.7225,10
AdaBoostClassifier,0.78,0.7794486215538847,0.7814070351758794,0.7775,3
AdaBoostClassifier,0.7825,0.7857142857142857,0.7742718446601942,0.7975,5
AdaBoostClassifier,0.78,0.782716049382716,0.7731707317073171,0.7925,7
AdaBoostClassifier,0.7825,0.7830423940149626,0.7810945273631841,0.785,10
PassiveAggressiveClassifier,0.735,0.7376237623762376,0.7303921568627451,0.745,3
PassiveAggressiveClassifier,0.73125,0.7554038680318543,0.6931106471816284,0.83,5
PassiveAggressiveClassifier,0.71125,0.6956521739130435,0.7353760445682451,0.66,7
PassiveAggressiveClassifier,0.74625,0.7380645161290322,0.7626666666666667,0.715,10
ExtraTreeClassifier,0.72625,0.7319461444308446,0.7170263788968825,0.7475,3
ExtraTreeClassifier,0.745,0.7565632458233891,0.723744292237443,0.7925,5
ExtraTreeClassifier,0.725,0.7374701670644391,0.7054794520547946,0.7725,7
ExtraTreeClassifier,0.73375,0.73992673992674,0.7231503579952268,0.7575,10
CatBoostClassifier,0.8225,0.8305489260143198,0.7945205479452054,0.87,3
CatBoostClassifier,0.8225,0.8289156626506025,0.8,0.86,5
CatBoostClassifier,0.835,0.8428571428571429,0.8045454545454546,0.885,7
CatBoostClassifier,0.825,0.8313253012048193,0.8023255813953488,0.8625,10
