iter	Passed	Remaining
0	10	5217
1	20	5053
2	35	5868
3	48	6040
4	61	6096
5	75	6212
6	85	6055
7	100	6193
8	116	6378
9	132	6468
10	157	6982
11	173	7058
12	192	7194
13	215	7477
14	234	7577
15	250	7569
16	266	7584
17	284	7616
18	301	7644
19	325	7819
20	341	7792
21	359	7802
22	378	7858
23	397	7886
24	418	7953
25	436	7951
26	455	7976
27	475	8020
28	497	8082
29	516	8086
30	533	8078
31	551	8059
32	570	8072
33	587	8059
34	606	8063
35	627	8090
36	650	8136
37	666	8104
38	686	8113
39	705	8117
40	728	8158
41	745	8130
42	762	8099
43	780	8084
44	798	8077
45	823	8131
46	836	8067
47	854	8045
48	872	8028
49	891	8027
50	917	8079
51	938	8083
52	957	8079
53	983	8122
54	1064	8613
55	1094	8677
56	1145	8906
57	1163	8867
58	1179	8813
59	1195	8769
60	1213	8732
61	1231	8701
62	1248	8659
63	1266	8626
64	1282	8580
65	1303	8569
66	1320	8535
67	1337	8496
68	1358	8486
69	1378	8465
70	1398	8451
71	1417	8424
72	1435	8398
73	1447	8330
74	1460	8278
75	1474	8226
76	1488	8179
77	1500	8120
78	1511	8053
79	1525	8010
80	1539	7963
81	1553	7921
82	1572	7901
83	1589	7869
84	1604	7831
85	1617	7787
86	1631	7744
87	1646	7710
88	1661	7671
89	1674	7628
90	1685	7573
91	1703	7552
92	1714	7501
93	1729	7468
94	1743	7432
95	1757	7395
96	1771	7357
97	1784	7319
98	1796	7277
99	1812	7249
100	1824	7209
101	1838	7172
102	1853	7144
103	1868	7113
104	1882	7082
105	1897	7054
106	1909	7014
107	1924	6984
108	1935	6941
109	1949	6911
110	1963	6880
111	1979	6858
112	1993	6825
113	2006	6795
114	2019	6759
115	2030	6720
116	2044	6692
117	2057	6660
118	2071	6633
119	2085	6602
120	2096	6567
121	2110	6540
122	2126	6516
123	2137	6481
124	2151	6453
125	2164	6425
126	2178	6397
127	2189	6364
128	2204	6340
129	2215	6305
130	2230	6282
131	2247	6264
132	2262	6243
133	2276	6217
134	2290	6192
135	2303	6164
136	2314	6133
137	2329	6111
138	2342	6083
139	2356	6058
140	2369	6032
141	2386	6015
142	2400	5993
143	2414	5969
144	2428	5944
145	2440	5917
146	2453	5892
147	2466	5866
148	2481	5844
149	2494	5820
150	2510	5803
151	2524	5780
152	2536	5752
153	2550	5731
154	2562	5703
155	2576	5681
156	2589	5657
157	2600	5630
158	2617	5614
159	2628	5586
160	2644	5568
161	2659	5548
162	2672	5526
163	2686	5503
164	2700	5483
165	2716	5465
166	2730	5444
167	2745	5424
168	2756	5398
169	2771	5379
170	2783	5354
171	2798	5336
172	2813	5317
173	2825	5293
174	2838	5272
175	2854	5255
176	2866	5230
177	2877	5205
178	2892	5186
179	2907	5169
180	2923	5151
181	2937	5132
182	2951	5113
183	2963	5089
184	2977	5069
185	2992	5051
186	3007	5034
187	3022	5015
188	3034	4992
189	3046	4971
190	3062	4954
191	3076	4935
192	3089	4914
193	3102	4893
194	3117	4876
195	3128	4852
196	3142	4832
197	3156	4814
198	3170	4794
199	3184	4777
200	3238	4817
201	3263	4814
202	3290	4813
203	3314	4808
204	3333	4796
205	3348	4778
206	3359	4755
207	3371	4733
208	3386	4715
209	3402	4698
210	3418	4681
211	3433	4664
212	3451	4650
213	3464	4630
214	3480	4613
215	3492	4591
216	3507	4573
217	3518	4551
218	3530	4529
219	3544	4510
220	3556	4490
221	3569	4470
222	3586	4454
223	3597	4432
224	3615	4418
225	3628	4399
226	3640	4378
227	3654	4360
228	3668	4341
229	3683	4323
230	3697	4305
231	3708	4283
232	3721	4264
233	3733	4243
234	3749	4228
235	3763	4210
236	3777	4191
237	3790	4172
238	3802	4152
239	3814	4131
240	3828	4114
241	3841	4095
242	3855	4077
243	3868	4058
244	3878	4036
245	3892	4018
